date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:13	4444/4444	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Apr%202017%2003:51:10%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/index.php	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/index.html	(from )
09:21:14	200/200	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202017%2003:51:11%20GMT	http://www.viaviweb.in/robots.txt		(from )
09:21:15	105939/105939	---M--	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/css/bootstrap.min.css	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/css/bootstrap.min.css	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:15	16849/16849	---M--	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/css/bootstrap-responsive.min.css	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/css/bootstrap-responsive.min.css	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:16	67311/67311	---M--	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/css/style.css	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/css/style.css	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:17	8257/8257	---M--	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/css/style-responsive.css	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/css/style-responsive.css	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:18	611/611	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202017%2003:51:15%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/img/favicon.ico	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/img/favicon.5.delayed	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:20	6911/6911	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery-migrate-1.0.0.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery-migrate-1.0.0.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:21	62686/62686	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/img/bg-login.jpg	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/img/bg-login.jpg	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:22	4593/4593	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.ui.touch-punch.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.ui.touch-punch.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:23	5541/5541	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/modernizr.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/modernizr.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:24	1941/1941	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.cookie.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.cookie.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:27	28538/28538	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/bootstrap.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/bootstrap.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:30	92629/92629	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery-1.9.1.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:32	49962/49962	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/fullcalendar.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/fullcalendar.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:37	41784/41784	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/excanvas.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/excanvas.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:39	70742/70742	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.dataTables.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.dataTables.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:40	6968/6968	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.flot.stack.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.flot.stack.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:41	21932/21932	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.flot.pie.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.flot.pie.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:41	1239/1239	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.flot.resize.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.flot.resize.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:45	7739/7739	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.uniform.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.uniform.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:47	22939/22939	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.chosen.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.chosen.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
09:21:47	12047/12047	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://www.viaviweb.in/Apps/cricket_world_cup/js/jquery.cleditor.min.js	C:/My%20Web%20Sites/ak/aks/www.viaviweb.in/Apps/cricket_world_cup/js/jquery.cleditor.min.js	(from http://www.viaviweb.in/Apps/cricket_world_cup/index.php)
